Accession #,Active yes/no,Additional disclaimer,Appearance,Application  Usage,Applications,Background,Binding Capacity,Biological activity,Buffer,Cas number,Clone,Concentration,Conjugate,Cross-reactivity,Date last updated,Disclaimer,EG number,Endotoxin Level,Extra information,Formulation,GeneIDURL,Handling,Hazardous Goods,Host,Immunogen,InChi,Isotype,Kit components,MDL Number,MSDS Available?,Molecular Form,Molecular Weight,NCBI GENE ID #,NCBI OFFICIAL FULL NAME,NCBI OFFICIAL SYMBOL,NCBI ORGANISM,PDF Datasheet,Packaging,Peptide sequence,Physical State,Physical form description,Price ITK/ImTec,Price LabNed,Product Description ITK,Product Type,Product category ITK,Product category LabNed,Product category by research field,Protein GI #,ProteinID,ProteinIDURL,PubChem CID,Purification,Purity,REACH number,Reactivity,Recommended Dilution,Reconstitution Instructions,Regulatory Statement,Related Products,Release Date,Research Area,SWISSPROT #,Salt Form,Sample Type,Shelf life,Shipping Conditions,Shipping costs,Size,Solubility/Reconstitution Instructions,Source,Stamnummer,Storage Conditions,Structure Available,Supplier,Supplier artikel nummer,Tags,Target,UNSPSC number,URL Datasheet,USDA Disclaimer,Unit Definition,User note,Web Category,code,description,image1_text,image2_text,name,not supplied reagents  equipment,picture,price,productid,references,review,vat
,Y,,,,FC,,,,,,HI264,,APC/AF750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,195,CD235 Human APC/AF750 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,92123501E ,2-8°C with minimized light exposure.,,AAT Bioquest,1235010,,CD235 ,12352203,https://www.aatbio.com/products/apc-af750-anti-human-cd235-antibody-hi264,,,,,921235010,,,,CD235 Human APC/AF750 Antibody,,,,921235010,,,LN9211225
,Y,,,,FC,,,,,,HI264,,mFluor Violet 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD235 Human mFluor Violet 500 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921235010 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350100,,CD235 ,12352203,,,,,,9212350100,,,,CD235 Human mFluor Violet 500 Antibody,,,,9212350100,,,LN9211308
,Y,,,,FC,,,,,,HI264,,iFluor 350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD235 Human iFluor 350 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921235001 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350010,,CD235 ,12352203,,,,,,9212350010,,,,CD235 Human iFluor 350 Antibody,,,,9212350010,,,LN9211238
,Y,,,,FC,,,,,,HI264,,iFluor 350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD235 Human iFluor 350 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921235001 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350011,,CD235 ,12352203,,,,,,9212350011,,,,CD235 Human iFluor 350 Antibody,,,,9212350011,,,LN9211239
,Y,,,,FC,,,,,,HI264,,iFluor 405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD235 Human iFluor 405 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921235002 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350020,,CD235 ,12352203,,,,,,9212350020,,,,CD235 Human iFluor 405 Antibody,,,,9212350020,,,LN9211240
,Y,,,,FC,,,,,,HI264,,iFluor 405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD235 Human iFluor 405 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921235002 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350021,,CD235 ,12352203,,,,,,9212350021,,,,CD235 Human iFluor 405 Antibody,,,,9212350021,,,LN9211241
,Y,,,,FC,,,,,,HI264,,iFluor 430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD235 Human iFluor 430 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921235003 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350030,,CD235 ,12352203,,,,,,9212350030,,,,CD235 Human iFluor 430 Antibody,,,,9212350030,,,LN9211242
,Y,,,,FC,,,,,,HI264,,iFluor 430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD235 Human iFluor 430 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921235003 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350031,,CD235 ,12352203,,,,,,9212350031,,,,CD235 Human iFluor 430 Antibody,,,,9212350031,,,LN9211243
,Y,,,,FC,,,,,,HI264,,iFluor 450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD235 Human iFluor 450 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921235004 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350040,,CD235 ,12352203,,,,,,9212350040,,,,CD235 Human iFluor 450 Antibody,,,,9212350040,,,LN9211244
,Y,,,,FC,,,,,,HI264,,iFluor 450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD235 Human iFluor 450 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921235004 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350041,,CD235 ,12352203,,,,,,9212350041,,,,CD235 Human iFluor 450 Antibody,,,,9212350041,,,LN9211245
